province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,doy,et0_penman_monteith,et0_hargreaves
Chau Doc,30,19,14,NNE,0.0,56,2,1015,2014-01-15,15,34.350027933956106,4.1518175898564085
Chau Doc,30,19,16,NE,0.0,48,1,1014,2015-01-15,15,44.19669236887824,4.1518175898564085
Chau Doc,34,25,13,SE,1.2,69,27,1010,2016-01-15,15,22.41548874969336,4.199368150161058
Chau Doc,30,24,14,NNE,5.8,79,39,1010,2017-01-15,15,16.43227843141488,3.2475451205605816
Chau Doc,30,23,6,SE,0.0,66,57,1010,2018-01-15,15,13.674742829787197,3.4686006472844646
Chau Doc,33,25,9,SSE,0.0,62,22,1011,2019-01-15,15,20.236543798378158,3.917350228547314
Chau Doc,33,21,7,SE,0.0,69,9,1011,2020-01-15,15,15.168673248080061,4.592722353915343
Chau Doc,32,21,5,SSE,0.0,72,12,1010,2021-01-15,15,11.023518041067973,4.34812102200092
Chau Doc,32,19,10,NNE,0.0,58,4,1014,2009-01-17,17,26.03010969336443,4.640355754570903
Chau Doc,32,21,8,NNE,0.0,61,3,1013,2009-01-18,18,20.0127896905045,4.3769708816371
Chau Doc,31,22,16,ENE,0.0,54,32,1015,2010-01-17,17,38.09342074018285,3.9501781790771378
Chau Doc,30,18,12,NNE,0.0,57,6,1012,2011-01-17,17,30.482503612153916,4.303864694562246
Chau Doc,32,24,11,SE,19.4,82,45,1007,2012-01-17,17,12.58449261674335,3.8503674402191788
Chau Doc,32,21,9,ESE,0.0,59,21,1013,2013-01-17,17,22.805664063515092,4.367086291682729
Chau Doc,30,18,15,NNE,0.0,55,17,1015,2014-01-17,17,37.43050696326188,4.303864694562246
Chau Doc,31,19,6,SSE,0.0,58,20,1014,2015-01-17,17,17.614844783576046,4.406827964767083
Chau Doc,34,24,8,SSE,0.1,69,15,1010,2016-01-17,17,16.056163534660392,4.398833843483787
Chau Doc,31,23,7,E,0.1,79,39,1011,2017-01-17,17,10.59762389898124,3.766298282135791
Chau Doc,31,23,7,S,9.3,78,60,1009,2018-01-17,17,10.964828125560066,3.766298282135791
Chau Doc,31,24,7,ESE,0.1,70,39,1011,2019-01-17,17,13.748335069692349,3.562369195329669
Chau Doc,34,23,7,SE,0.0,67,16,1012,2020-01-17,17,15.610912846263915,4.5642459436774345
Chau Doc,31,21,9,E,0.0,68,27,1011,2021-01-17,17,18.276533380399595,4.11685731505534
Chau Doc,31,22,15,ENE,0.0,53,20,1014,2010-01-18,18,37.063923865899895,3.9591191271003647
Chau Doc,32,20,8,ESE,0.0,59,1,1011,2011-01-18,18,21.200204786092485,4.5199988274397915
Chau Doc,32,23,11,SE,14.9,82,50,1008,2012-01-18,18,12.809330196525499,4.048489762023623
Chau Doc,31,21,20,NNE,0.0,51,19,1014,2013-01-18,18,47.93710379417494,4.126175529476125
Chau Doc,30,19,17,NNE,0.0,57,9,1016,2014-01-18,18,38.66088050995589,4.179364972759578
Chau Doc,31,21,10,ENE,0.0,57,25,1014,2015-01-18,18,25.593976554043167,4.126175529476125
Chau Doc,34,26,8,SSE,4.5,69,26,1010,2016-01-18,18,15.556721263787084,4.027601359032234
Chau Doc,31,23,7,E,0.4,72,39,1013,2017-01-18,18,13.254541624062844,3.7748230310594995
Chau Doc,32,24,5,S,2.5,76,37,1009,2018-01-18,18,9.352439469517583,3.859082473717077
Chau Doc,32,24,9,E,0.0,62,27,1011,2019-01-18,18,20.39610920410517,3.859082473717077
Chau Doc,34,23,7,SSE,0.0,68,15,1012,2020-01-18,18,15.245819634977469,4.574576790514621
Chau Doc,29,20,17,NNE,0.0,58,9,1012,2021-01-18,18,37.04492632666196,3.7803778572538462
Chau Doc,28,19,21,NNE,0.0,58,21,1017,2009-01-13,13,43.232042080273416,3.6516315319923964
Chau Doc,33,23,11,ENE,0.0,59,26,1014,2010-01-13,13,25.90938517453285,4.2685573447037815
Chau Doc,31,22,6,ESE,0.0,64,27,1009,2011-01-13,13,14.696864824960853,3.916883217125017
Chau Doc,32,22,13,E,3.9,75,51,1010,2012-01-13,13,19.043812704814876,4.175357402679681
Chau Doc,33,23,5,ESE,0.2,66,31,1011,2013-01-13,13,12.408250240397493,4.2685573447037815
Chau Doc,32,22,16,NNE,0.0,58,16,1012,2014-01-13,13,35.12093212445484,4.175357402679681
Chau Doc,31,22,17,E,0.1,61,19,1012,2015-01-13,13,34.03846514478846,3.916883217125017
Chau Doc,34,24,13,SE,0.2,69,35,1011,2016-01-13,13,22.72232445019992,4.36175728672788
Chau Doc,33,25,8,S,0.3,71,24,1008,2017-01-13,13,14.760890194004327,3.901274317791433
Chau Doc,30,20,13,S,0.0,63,7,1013,2018-01-13,13,27.336945015660003,3.98895751863148
Chau Doc,33,24,6,ESE,2.1,70,31,1011,2019-01-13,13,12.599949343415442,4.093717673880096
Chau Doc,32,23,7,SSE,0.1,69,49,1010,2020-01-13,13,14.485092083225474,4.005300445502557
Chau Doc,28,18,11,SW,0.0,61,6,1012,2021-01-13,13,25.859783837105375,3.8025576345832803
Chau Doc,30,19,14,ENE,0.0,61,13,1016,2009-01-16,16,30.763918075804018,4.160741751977928
Chau Doc,29,23,15,ENE,0.0,55,26,1016,2010-01-16,16,34.89368529379681,3.18187992558787
Chau Doc,31,21,10,ENE,0.0,62,18,1011,2011-01-16,16,22.89335559692536,4.107789320477838
Chau Doc,32,23,10,ESE,7.9,78,44,1007,2012-01-16,16,14.093717358111798,4.030449720256073
Chau Doc,32,22,10,ENE,0.6,65,13,1013,2013-01-16,16,21.16980339418044,4.201574464780985
Chau Doc,30,18,11,SW,0.0,58,8,1015,2014-01-16,16,28.021881552263842,4.2943847882342165
Chau Doc,31,19,13,ESE,0.0,50,1,1014,2015-01-16,16,36.80083402158402,4.397121266421637
Chau Doc,34,25,9,SE,2.7,72,30,1010,2016-01-16,16,15.816834896627283,4.20839452026738
Chau Doc,29,23,15,ENE,5.1,84,77,1010,2017-01-16,16,13.676507723526818,3.18187992558787
Chau Doc,31,24,7,SW,4.6,73,40,1010,2018-01-16,16,12.617880760007232,3.5545225438491403
Chau Doc,32,25,7,SSE,8.5,71,40,1011,2019-01-16,16,13.294090987221024,3.632988825170313
Chau Doc,33,22,6,SSE,0.0,69,23,1011,2020-01-16,16,13.398114703372785,4.4558298194940935
Chau Doc,32,21,6,S,0.0,71,28,1010,2021-01-16,16,12.79545479400797,4.357467130322038
Chau Doc,34,21,6,E,0.0,63,1,1011,2009-01-20,20,15.834253115523582,4.888505720175856
Chau Doc,23,21,11,WSW,21.6,93,93,1011,2010-01-20,20,5.396912225697915,1.684629181809422
Chau Doc,33,21,11,SE,0.0,55,33,1009,2011-01-20,20,28.951782114180638,4.644884150134315
Chau Doc,31,23,11,SE,7.3,82,31,1009,2012-01-20,20,12.654739337490286,3.7925320273900556
